OBJECTID,ID,LENGTH,AFC_NUMBER,ROADTYPE,NUMBER,PRIMARY_NA,ALT_NAME_1,ALT_NAME_2,LOCAL_NAME,STATE,CCSTYLE,ALTFUEL_RO,EV_ROUND,EV,ELECTRICVE,CNG_ROUND,CNG,COMNATURAL,LNG_ROUND,LNG,LIQNATURAL,LPG_ROUND,LPG,PROPANE,HY_ROUND,HY,HYDROGEN,Len_miles,Not_NHS,ShapeSTLength
106,71,3.42,8,I,8,I8, , , ,CA,1,15,1,1,Signage Ready,5,1,Signage Ready,1,2,Signage Pending,0,0, ,1,2,Signage Pending,3.41591829,0,6551.31304520099
107,73,17.42,78,S,78,S78, , , ,CA,4,3,3,1,Signage Ready,3,2,Signage Pending,0,0, ,0,0, ,0,0, ,17.41511743,0,33600.8732156342
108,74,17.42,78,S,78,S78, , , ,CA,4,3,3,1,Signage Ready,3,2,Signage Pending,0,0, ,0,0, ,0,0, ,17.42187283,0,33613.9266893851
109,72,0.01,5,I,5,I5, , , ,CA,1,13,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,0,0, ,3,1,Signage Ready,0.00876545,0,16.8469853356617
110,82,23.07,78,S,78,S78,S,78, ,CA,4,2,2,2,Signage Pending,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,23.07185672,0,44426.4029938119
111,77,9.69,8,I,8,I8, , , ,CA,1,15,1,2,Signage Pending,5,1,Signage Ready,1,2,Signage Pending,0,0, ,1,2,Signage Pending,9.69485529,0,18564.4549687179
112,78,9.43,8,I,8,I8, , , ,CA,1,15,1,2,Signage Pending,5,1,Signage Ready,1,2,Signage Pending,0,0, ,1,2,Signage Pending,9.43227167,0,18055.3858590362
113,81,23.66,78,S,78,S78,S,78, ,CA,4,2,2,2,Signage Pending,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,23.65859972,0,45241.6855151709
114,80,0.4,111,S,111,S111,S,111, ,CA,4,2,2,2,Signage Pending,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0.39509026,0,756.562870814484
115,86,61.11,10,I,10,I10, , ,I-10,AZ,1,25,5,1,Signage Ready,2,1,Signage Ready,2,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,61.11008465,0,116807.539007648
116,88,63.58,19,I,19,I19, , ,I-19,AZ,1,256,6,2,Signage Pending,2,2,Signage Pending,0,0, ,0,0, ,5,2,Signage Pending,63.58024726,0,120324.552267945
117,87,56.77,10,I,10,I10, , ,I-10,AZ,1,25,5,1,Signage Ready,2,1,Signage Ready,2,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,56.77108558,0,109124.435955545
118,89,6.74,10,I,10,I10, , ,I-10,AZ,1,25,5,1,Signage Ready,2,1,Signage Ready,2,2,Signage Pending,5,2,Signage Pending,0,0, ,6.73772281,0,12835.9988590417
119,94,152.88,10,I,10,I10,U80, , ,TX,1,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,0,0, ,152.87508115,0,288230.201910407
120,93,62.35,10,I,10,I10, , , ,NM,1,4,4,2,Signage Pending,4,2,Signage Pending,0,0, ,4,1,Signage Ready,0,0, ,62.34989118,0,119127.656454485
121,92,61.78,10,I,10,I10, , , ,NM,1,4,4,2,Signage Pending,4,2,Signage Pending,0,0, ,4,2,Signage Pending,0,0, ,61.78303416,0,117981.371562224
122,91,20.02,10,I,10,I10, , , ,NM,1,4,4,2,Signage Pending,4,2,Signage Pending,0,0, ,4,2,Signage Pending,0,0, ,20.02370522,0,38221.795154335
123,95,22.63,10,I,10,I10,U180, , ,TX,1,1,0,0, ,1,2,Signage Pending,1,2,Signage Pending,1,1,Signage Ready,0,0, ,22.62826991,0,42893.2902027311
124,2332,11.43,10,I,10,I10,U80, , ,TX,1,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,1,1,Signage Ready,0,0, ,11.43185079,0,21683.7458216907
125,102,19.01,10,I,10,I10, , , ,NM,1,4,4,2,Signage Pending,4,2,Signage Pending,0,0, ,4,1,Signage Ready,0,0, ,19.01457092,0,36131.4603470639
126,100,1.33,25,I,25,I25, , , ,NM,1,4,4,2,Signage Pending,4,2,Signage Pending,4,2,Signage Pending,4,1,Signage Ready,0,0, ,1.32839167,0,2526.05831475916
127,101,0.88,10,I,10,I10, , , ,NM,1,4,4,2,Signage Pending,4,2,Signage Pending,0,0, ,4,1,Signage Ready,0,0, ,0.87910604,0,1673.13650210916
128,118,79.59,20,I,20,I20,U80, , ,TX,1,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,0,0, ,79.587439,0,150382.272249646
129,2334,51.79,20,I,20,I20,U80, , ,TX,1,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,1,1,Signage Ready,0,0, ,51.78691698,0,98258.7834842207
130,114,81.87,285,S,285,S285, , , ,NM,4,45,5,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,81.87209676,0,156773.255570606
131,113,31.33,285,S,285,S285, , , ,NM,4,5,5,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,31.32670424,0,59589.0556518562
132,115,7.41,285,S,285,S285, , , ,NM,4,5,5,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,7.41142492,0,14298.2191146413
133,2333,3.84,20,I,20,I20,U80, , ,TX,1,1,1,2,Signage Pending,1,1,Signage Ready,1,2,Signage Pending,1,1,Signage Ready,0,0, ,3.84308102,0,7312.05580700176
134,222,32.12,91,S,91,S91, , , ,CA,4,4,4,1,Signage Ready,0,0, ,0,0, ,0,0, ,4,2,Signage Pending,32.11503078,0,62509.9646090533
135,223,41.18,210,S,210,S210, , , ,CA,1,4,4,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,41.18368358,0,80475.1075542765
136,229,29.95,395,U,395,U395,U,395, ,CA,3,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,29.95199556,0,58452.3218042919
137,312,289.74,84,I,84,I84,U30, ,OLD OREGON TRAIL HWY,OR,1,16,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,0,0, ,6,2,Signage Pending,289.73682295,0,662058.826703888
138,323,78.96,90,I,90,I90, , , ,WA,1,35,5,1,Signage Ready,0,0, ,0,0, ,5,2,Signage Pending,5,2,Signage Pending,78.95683429,0,187373.992780696
139,326,28.54,60,S,60,S60, , , ,CA,4,1,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,0,0, ,1,2,Signage Pending,28.5432578,0,55733.0066478456
